name,SC_r,centroid,varR,kurtosis,anisotropy
x_phase_+0.0_deg.tiff,0.274210,168.668749,11712.526595,1.514107,4.023289e-05
x_phase_+0.1_deg.tiff,0.364572,141.890627,11246.736355,1.513154,2.160846e-05
x_phase_+0.2_deg.tiff,0.258115,173.633792,11782.713645,1.550291,4.471991e-05
x_phase_+0.3_deg.tiff,0.294974,159.594412,11356.305458,1.496874,2.507109e-05
x_phase_+0.4_deg.tiff,0.251447,173.600926,11514.734103,1.573956,3.976234e-05
x_phase_+0.5_deg.tiff,0.290835,163.369133,11853.109966,1.482234,2.839801e-05
x_phase_+0.6_deg.tiff,0.263308,169.252063,11644.855724,1.521929,2.936738e-05
x_phase_+0.7_deg.tiff,0.266083,169.476422,11748.056711,1.507513,3.642147e-05
x_phase_+0.8_deg.tiff,0.269918,164.970958,11303.875153,1.514670,2.422563e-05
x_phase_+0.9_deg.tiff,0.244599,176.026964,11776.201811,1.535997,4.133227e-05
x_phase_+1.0_deg.tiff,0.343702,146.950608,11367.006302,1.504514,2.427394e-05
x_phase_+1.1_deg.tiff,0.235638,177.124279,11714.569740,1.552040,3.862463e-05
x_phase_+1.2_deg.tiff,0.273469,165.163252,11711.854013,1.501245,2.699795e-05
x_phase_+1.3_deg.tiff,0.230406,175.822932,11268.736164,1.565871,3.039833e-05
x_phase_+1.4_deg.tiff,0.252711,172.722392,11931.524309,1.492946,3.034182e-05
x_phase_+1.5_deg.tiff,0.257994,168.384986,11651.696132,1.514020,2.098673e-05
x_phase_+1.6_deg.tiff,0.238411,175.840386,11840.883341,1.504100,3.489035e-05
x_phase_+1.7_deg.tiff,0.258193,166.851595,11524.077000,1.496674,2.074490e-05
x_phase_+1.8_deg.tiff,0.224030,180.137442,11902.646732,1.530538,3.594274e-05
x_phase_+1.9_deg.tiff,0.271417,165.406673,11919.734743,1.473629,2.223917e-05
x_phase_+10.0_deg.tiff,0.265985,170.555748,11620.084628,1.544371,4.157310e-05
x_phase_+10.1_deg.tiff,0.291558,162.531546,11673.963328,1.542850,3.044158e-05
x_phase_+10.2_deg.tiff,0.275675,166.490384,11423.783115,1.552151,3.413032e-05
x_phase_+10.3_deg.tiff,0.271657,169.077781,11515.386157,1.558378,3.921297e-05
x_phase_+10.4_deg.tiff,0.317569,155.772748,11649.535493,1.505659,2.505645e-05
x_phase_+10.5_deg.tiff,0.271082,170.296516,11663.344305,1.559755,4.323861e-05
x_phase_+10.6_deg.tiff,0.325820,154.363489,11672.143796,1.493421,2.391846e-05
x_phase_+10.7_deg.tiff,0.272841,169.790160,11619.996235,1.569141,4.373263e-05
x_phase_+10.8_deg.tiff,0.300493,161.067229,11614.851252,1.530386,2.700183e-05
x_phase_+10.9_deg.tiff,0.288902,164.764229,11633.540677,1.531780,3.703673e-05
x_phase_+11.0_deg.tiff,0.292708,164.068255,11693.113794,1.525202,3.760917e-05
x_phase_+11.1_deg.tiff,0.287903,164.625788,11618.975692,1.564275,2.849181e-05
x_phase_+11.2_deg.tiff,0.276894,168.269565,11528.486274,1.571900,4.483781e-05
x_phase_+11.3_deg.tiff,0.320023,154.827647,11495.447588,1.518064,2.424669e-05
x_phase_+11.4_deg.tiff,0.277215,169.123564,11686.193275,1.572586,4.461129e-05
x_phase_+11.5_deg.tiff,0.338173,151.473826,11688.521974,1.487478,2.365783e-05
x_phase_+11.6_deg.tiff,0.274864,169.526024,11577.242445,1.582604,4.212475e-05
x_phase_+11.7_deg.tiff,0.297990,161.819364,11529.813686,1.524800,3.495821e-05
x_phase_+11.8_deg.tiff,0.294092,162.679902,11623.398575,1.558559,3.383382e-05
x_phase_+11.9_deg.tiff,0.293702,164.390293,11710.433702,1.512466,4.195401e-05
x_phase_+12.0_deg.tiff,0.310563,157.583528,11570.917356,1.526590,2.135858e-05
x_phase_+12.1_deg.tiff,0.276088,169.073196,11663.645729,1.571837,4.429718e-05
x_phase_+12.2_deg.tiff,0.307852,156.752015,11306.252288,1.530418,2.254073e-05
x_phase_+12.3_deg.tiff,0.274591,169.202960,11596.333107,1.579946,4.134369e-05
x_phase_+12.4_deg.tiff,0.330370,152.969444,11708.112722,1.490339,2.374533e-05
x_phase_+12.5_deg.tiff,0.275126,168.209286,11516.788975,1.574056,3.410563e-05
x_phase_+12.6_deg.tiff,0.286797,165.034313,11567.266589,1.523710,4.296837e-05
x_phase_+12.7_deg.tiff,0.296170,160.479127,11465.487469,1.559135,2.588072e-05
x_phase_+12.8_deg.tiff,0.275783,169.866337,11803.808737,1.539563,4.636962e-05
x_phase_+12.9_deg.tiff,0.339478,149.115188,11457.520357,1.488156,1.789770e-05
x_phase_+13.0_deg.tiff,0.264384,172.300963,11671.833711,1.584420,4.246362e-05
x_phase_+13.1_deg.tiff,0.295433,160.188705,11400.373438,1.515433,2.606164e-05
x_phase_+13.2_deg.tiff,0.265179,169.683407,11405.493471,1.586748,3.499566e-05
x_phase_+13.3_deg.tiff,0.303433,161.278007,11892.873803,1.483042,3.015884e-05
x_phase_+13.4_deg.tiff,0.274531,167.225558,11533.043405,1.548581,2.679994e-05
x_phase_+13.5_deg.tiff,0.270160,169.648289,11647.494276,1.529679,4.800713e-05
x_phase_+13.6_deg.tiff,0.283948,162.443474,11306.035883,1.539328,2.425714e-05
x_phase_+13.7_deg.tiff,0.257267,174.014612,11783.260055,1.561310,4.631659e-05
x_phase_+13.8_deg.tiff,0.391664,136.285309,11206.401263,1.528534,1.987712e-05
x_phase_+13.9_deg.tiff,0.244858,175.758137,11555.683829,1.590206,4.001995e-05
x_phase_+14.0_deg.tiff,0.278757,165.540480,11678.585742,1.499564,3.287396e-05
x_phase_+14.1_deg.tiff,0.246184,173.429913,11380.605915,1.583856,3.561048e-05
x_phase_+14.2_deg.tiff,0.270589,169.820853,11970.997738,1.484598,3.967926e-05
x_phase_+14.3_deg.tiff,0.285542,162.589438,11653.091853,1.511401,2.021541e-05
x_phase_+14.4_deg.tiff,0.247250,176.016422,11872.249077,1.539191,4.724171e-05
x_phase_+14.5_deg.tiff,0.268531,164.481358,11210.120796,1.512435,2.327013e-05
x_phase_+14.6_deg.tiff,0.235308,178.186356,11687.139321,1.569530,4.279632e-05
x_phase_+14.7_deg.tiff,0.309062,156.078524,11727.854917,1.489694,2.180994e-05
x_phase_+14.8_deg.tiff,0.231029,177.866234,11559.835172,1.558696,3.780589e-05
x_phase_+14.9_deg.tiff,0.258449,171.039085,11876.092265,1.496139,3.944854e-05
x_phase_+15.0_deg.tiff,0.238113,172.950583,11364.931881,1.561800,3.046036e-05
x_phase_+15.1_deg.tiff,0.236385,178.118621,11964.066004,1.508905,4.634374e-05
x_phase_+15.2_deg.tiff,0.286098,159.894578,11574.817488,1.506734,2.123560e-05
x_phase_+15.3_deg.tiff,0.226532,179.927775,11926.436336,1.528962,4.022498e-05
x_phase_+15.4_deg.tiff,0.259535,166.789879,11526.777030,1.477507,2.461692e-05
x_phase_+15.5_deg.tiff,0.222801,179.446921,11748.202889,1.545618,3.791539e-05
x_phase_+15.6_deg.tiff,0.252783,172.755605,12149.001569,1.470464,3.245537e-05
x_phase_+15.7_deg.tiff,0.235445,174.830833,11707.844754,1.507715,3.028177e-05
x_phase_+15.8_deg.tiff,0.241093,175.868270,12146.167842,1.474241,4.061278e-05
x_phase_+15.9_deg.tiff,0.240674,172.241112,11671.227481,1.504195,3.191781e-05
x_phase_+16.0_deg.tiff,0.229000,178.985869,12033.787209,1.487257,4.012346e-05
x_phase_+16.1_deg.tiff,0.298953,157.826777,11825.145854,1.478923,2.542168e-05
x_phase_+16.2_deg.tiff,0.231628,177.335797,12141.558231,1.483167,3.517173e-05
x_phase_+16.3_deg.tiff,0.269726,165.858645,12027.214781,1.453483,2.906339e-05
x_phase_+16.4_deg.tiff,0.239762,174.196918,11961.741450,1.467632,3.627262e-05
x_phase_+16.5_deg.tiff,0.249245,173.723755,12285.687106,1.442265,3.402420e-05
